"rank","instrument","score","pct_rank","close","ret_5d","ret_20d","ann_vol_20d","sector","sic_description","news_count_5d","news_pos_count_5d","news_neg_count_5d","news_sentiment","most_recent_published_utc","pub_lag_days","pub_hour_utc","most_recent_title","most_recent_reasoning","most_recent_keywords","rule_avoid_high_precision","rule_buy_high_precision","rule_buy_legal_veto"
"34","CLX","0.16493968218909674","0.06660039761431412","87.11000061035156","-0.11724764108657837","-0.1387186050415039","0.4620165526866913","Manufacturing","SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"35","MRNA","0.15959378903684607","0.06858846918489066","45.369998931884766","-0.10565739870071411","-0.07784557342529297","0.4354146420955658","Manufacturing","BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)","3","0","1","NEG","2026-05-01T14:44:46Z","-0.6144212962962963","14.0","Moderna's Legal Hit Steals Spotlight From Strong Sales","Stock declined 2.05% on the day despite strong revenue beat and narrower-than-expected loss, primarily due to a significant $2.22 per share litigation-related charge that overshadowed positive operational results and pipeline progress.","Moderna;Q1 earnings;litigation settlement;revenue beat;COVID-19 vaccine","False","False","False"
"36","CCL","0.15821140830366595","0.0705765407554672","26.65999984741211","-0.018770694732666016","0.03978157043457031","0.6261350512504578","Transportation_Utilities","WATER TRANSPORTATION","1","1","0","POS","2026-04-28T11:20:00Z","2.5277777777777777","11.0","Down 25% in 1 Month, Is Carnival Stock a Bargain or a Trap? Here's the Honest Answer.","Despite near-term fuel cost headwinds reducing fiscal 2026 earnings guidance, Carnival maintains strong fundamentals including record 103% occupancy, record bookings extending into 2028, and a low 12x P/E ratio well below competitors. Earnings are still expected to grow year-over","cruise line;fuel prices;valuation;earnings;occupancy rates","False","False","False"
"37","MCHP","0.1563288356741082","0.07256461232604373","93.94999694824219","0.050424814224243164","0.43216466903686523","0.480936199426651","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","2","2","0","POS","2026-04-29T12:26:00Z","1.4819444444444445","12.0","AI Is Reviving an Overlooked Chip Category—and These 3 Names Are Riding the Demand","Up 30% YTD with recent momentum, beat internal sales targets and analyst predictions in latest quarter, announced automotive collaboration with Hyundai Motor Group, though inventory and manufacturing underutilization remain concerns.","analog chips;semiconductors;AI data centers;power delivery;signal management","False","False","False"
"38","HUM","0.14813985361563806","0.07455268389662027","233.6300048828125","0.08548998832702637","0.31378281116485596","0.4361715018749237","Finance_Insurance_RealEstate","HOSPITAL & MEDICAL SERVICE PLANS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"39","KLAC","0.14723429809211352","0.07654075546719682","1726.260009765625","-0.10787594318389893","0.1380634307861328","0.49327823519706726","Manufacturing","OPTICAL INSTRUMENTS & LENSES","1","0","0","NEUTRAL","2026-04-27T13:22:01Z","3.4430439814814813","13.0","Earnings Volatility Watch: What To Expect From Sandisk and 5 Mag Seven Stocks This Week","High implied volatility (11.70%) but facing negative growth estimates with EPS down 10.31% and revenue off 2.36%; process-control tools at leading edge but near-term headwinds","earnings season;implied volatility;Magnificent Seven;semiconductor;storage","False","False","False"
"40","HOOD","0.1464019599669456","0.07852882703777336","73.66000366210938","-0.13044500350952148","0.06908571720123291","0.8352012038230896","Finance_Insurance_RealEstate","SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","9","0","7","STRONG-NEG","2026-05-01T16:29:29Z","-0.6871412037037037","16.0","Why Robinhood Markets Stock Sank This Week","Stock declined 11.8% this week due to weak net income growth (3% vs 15% revenue growth) and a significant 47% year-over-year drop in cryptocurrency revenue, which was previously a major revenue driver. While the company shows growth in user deposits and new products, the valuatio","earnings miss;cryptocurrency revenue decline;net income growth;digital brokerage;valuation concerns","False","False","False"
"41","GEV","0.14101176759647724","0.0805168986083499","1062.949951171875","-0.07504415512084961","0.18293499946594238","0.5681324601173401","Manufacturing","ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP)","1","1","0","POS","2026-04-30T05:15:00Z","0.78125","5.0","Something Amazing That No One Predicted Just Happened in the Markets (Yes, AI Is at the Center of It)","Surpassed GE Aerospace in market cap for the first time; HA turbine orders increased 4x from 2018 to 2025; raised full-year revenue, earnings, and cash flow guidance; strong AI data center demand driving order book growth; excellent management positioning company for sustained gr","AI data centers;gas turbines;market capitalization;GE Vernova;GE Aerospace","False","False","False"
"42","LUV","0.13868727637127154","0.08250497017892644","38.7599983215332","-0.01749056577682495","0.030851006507873535","0.5032767653465271","Transportation_Utilities","AIR TRANSPORTATION, SCHEDULED","1","0","1","NEG","2026-04-28T15:18:00Z","2.3625","15.0","Blocked Merger, Fuel Crisis Push Spirit Airlines Closer to Government Ownership","Posted sharp operating margin declines in Q1 2025 as international tourism weakened. Low-cost carrier model facing headwinds compared to legacy carriers.","Spirit Airlines;government bailout;low-cost carriers;airline industry;fuel crisis","False","False","False"
"43","FCX","0.13772075346949716","0.08449304174950298","56.54999923706055","-0.07371008396148682","-0.07869017124176025","0.6194285750389099","Mining","METAL MINING","0","0","0","NO-NEWS","","","","","","","False","False","False"
"44","LYB","0.135161798425079","0.08648111332007952","74.98999786376953","0.07327890396118164","-0.057914555072784424","0.6220042109489441","Manufacturing","INDUSTRIAL ORGANIC CHEMICALS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"45","APP","0.1307718711590851","0.08846918489065607","460.0","0.02612149715423584","0.1905686855316162","0.6109626293182373","Services","SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","0","0","0","NO-NEWS","","","","","","","False","False","False"
"46","LULU","0.12694932266814138","0.09045725646123261","133.5800018310547","-0.07107090950012207","-0.1421782374382019","0.5887746810913086","Manufacturing","APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL","0","0","0","NO-NEWS","","","","","","","False","False","False"
"47","BAX","0.12611727201201373","0.09244532803180915","17.209999084472656","-0.05231279134750366","0.03177452087402344","0.39319273829460144","Manufacturing","SURGICAL & MEDICAL INSTRUMENTS & APPARATUS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"48","FICO","0.12607157994617085","0.09443339960238568","1035.5","0.030635476112365723","-0.049790799617767334","0.7014811038970947","Services","SERVICES-BUSINESS SERVICES, NEC","0","0","0","NO-NEWS","","","","","","","False","False","False"
"49","Q","0.12499314755834504","0.09642147117296222","143.3300018310547","-0.007959544658660889","0.22998368740081787","0.441038578748703","Manufacturing","SEMICONDUCTORS & RELATED DEVICES","0","0","0","NO-NEWS","","","","","","","False","False","False"
"50","OXY","0.11768121293128472","0.09840954274353876","58.709999084472656","0.027836084365844727","-0.06765127182006836","0.4188050925731659","Mining","CRUDE PETROLEUM & NATURAL GAS","7","7","0","STRONG-POS","2026-04-30T21:25:00Z","0.1076388888888889","21.0","Crude Oil Blockade Impact: $110 Price Lifts Energy Sector Cash Flow Visibility","Stock gained 2.4% due to high sensitivity to WTI crude prices. Benefits from elevated oil prices driven by the blockade.","crude oil blockade;Iran sanctions;oil prices;energy sector;free cash flow","False","False","False"
"51","PODD","0.11390903332893806","0.10039761431411531","175.0399932861328","-0.07659846544265747","-0.14326268434524536","0.5801638960838318","Manufacturing","SURGICAL & MEDICAL INSTRUMENTS & APPARATUS","1","0","1","NEG","2026-04-29T18:30:22Z","1.228912037037037","18.0","FDA Flags High-Risk Recall Of Insulet's Omnipod 5 Pods Over Insulin Delivery Concerns","The company faces an FDA Class I recall (most serious type) of its flagship Omnipod 5 product due to a critical defect affecting insulin delivery. With 476 reported serious injuries, potential for life-threatening complications, and the stock hitting a 52-week low with a 10.95% d","FDA recall;Omnipod 5;insulin delivery defect;medical device safety;diabetic ketoacidosis","False","False","False"
"52","AXON","0.11065552627246679","0.10238568588469185","402.30999755859375","0.01306915283203125","-0.025435447692871094","0.6707780957221985","Manufacturing","ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)","1","0","1","NEG","2026-04-30T07:35:00Z","0.6840277777777778","7.0","2 Factors Dragging Down Axon Enterprise Stock: Should You Buy the Dip?","Stock has declined 30% in 2026 and trades at a lofty 53x forward earnings valuation. Rising stock-based compensation expenses ($610M in 2025, up 60% YoY) and concerns about earnings growth sustainability weigh on the stock. While recent earnings beat provided temporary relief, th","Axon Enterprise;SaaS stocks;AI disruption;valuation concerns;stock-based compensation","False","False","False"
"53","AMZN","0.10962678537352367","0.10437375745526839","268.260009765625","0.016174912452697754","0.2788292169570923","0.2781180441379547","Retail","RETAIL-CATALOG & MAIL-ORDER HOUSES","80","37","4","POS","2026-05-01T17:11:59Z","-0.7166550925925926","17.0","Stock Market Today: Apple Earnings Power S&P 500, Nasdaq To Records; Trump Hits EU","Rose 1.9% as part of broad-based technology rally","S&P 500;Nasdaq 100;Apple earnings;technology rally;software stocks","False","False","False"
"54","ACN","0.10948942478563398","0.10636182902584493","179.8300018310547","0.008241772651672363","-0.10678982734680176","0.42340320348739624","Services","SERVICES-BUSINESS SERVICES, NEC","1","1","0","POS","2026-04-29T13:00:00Z","1.4583333333333333","13.0","AFCEA International Announces the 2026 Winners of Intelligence Community Award","Four Accenture team members (Dr. Amir Bagherpour, Dr. Rick Bennet, Evelyn Torsher, Morgan Menzies) recognized as part of the award-winning Project SAURON team, highlighting the company's expertise and success in delivering enterprise-level AI and analytics solutions for defense i","Defense Scientific & Technical Intelligence;artificial intelligence;Digital ISR sensor;human-AI teaming;predictive analytics","False","False","False"
"55","DOW","0.10829843348958137","0.10834990059642147","40.290000915527344","0.042162418365478516","-0.026811599731445312","0.57518070936203","Manufacturing","PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"56","GPC","0.10665586636116448","0.110337972166998","104.98999786376953","-0.03448593616485596","0.014690160751342773","0.3169952630996704","Wholesale","WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS","0","0","0","NO-NEWS","","","","","","","False","False","False"
"57","CTSH","0.10314666996635978","0.11232604373757456","52.43000030517578","-0.0486299991607666","-0.16165655851364136","0.344818115234375","Services","SERVICES-COMPUTER PROGRAMMING SERVICES","0","0","0","NO-NEWS","","","","","","","False","False","False"
"58","AKAM","0.10244908505265832","0.1143141153081511","103.87000274658203","0.09049868583679199","-0.11974573135375977","0.7915030717849731","Services","SERVICES-BUSINESS SERVICES, NEC","0","0","0","NO-NEWS","","","","","","","False","False","False"
"59","GEHC","0.10208626775156956","0.11630218687872763","61.029998779296875","-0.11332273483276367","-0.1324804425239563","0.5724049806594849","Manufacturing","X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS","3","1","2","NEG","2026-04-30T23:15:00Z","0.03125","23.0","GE HealthCare Technologies Inc. Shareholders Are Encouraged to Reach Out to Johnson Fistel for More Information About Potentially Recovering Their Losses","Company reported declining earnings per share, reduced full-year guidance, and disclosed unexpected $250 million in additional input costs due to inflation, resulting in sharp stock price decline and triggering securities investigation.","securities fraud investigation;investor losses;earnings guidance reduction;inflation impact;class action lawsuit","False","False","False"
"60","BSX","0.10130089332284692","0.11829025844930417","56.5","-0.0897374153137207","-0.10060489177703857","0.501798152923584","Manufacturing","SURGICAL & MEDICAL INSTRUMENTS & APPARATUS","3","0","3","STRONG-NEG","2026-04-29T22:43:00Z","1.0534722222222221","22.0","BSX DEADLINE: ROSEN, RECOGNIZED INVESTOR COUNSEL, Encourages Boston Scientific Corporation Investors to Secure Counsel Before Important May 4 Deadline in Securi","The company is the subject of a securities class action lawsuit alleging material misstatements and concealment of adverse facts regarding its U.S. Electrophysiology segment's unsustainable growth, resulting in missed earnings and disappointing guidance that caused investor losse","securities class action;Boston Scientific;Electrophysiology segment;false statements;lead plaintiff deadline","False","False","False"
"61","TSCO","0.10022546023067797","0.12027833001988071","33.83000183105469","-0.0792052149772644","-0.22797805070877075","0.5216985940933228","Retail","RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY","0","0","0","NO-NEWS","","","","","","","False","False","False"
"62","UAL","0.09992471852314165","0.12226640159045726","92.5199966430664","-0.0051613450050354","0.003361821174621582","0.5210663080215454","Transportation_Utilities","AIR TRANSPORTATION, SCHEDULED","5","2","1","POS","2026-05-01T01:05:00Z","-0.04513888888888889","1.0","United Airlines' CEO Shocked the Market: Here's What It Means to eVTOL Investors","While the CEO's safety concerns are significant for the eVTOL industry, they represent a prudent risk management stance for the airline. The company's position is neither particularly positive nor negative for its own operations.","eVTOL;electric vertical takeoff and landing;airport operations;safety concerns;airline partnerships","False","False","False"
"63","JBL","0.09629616068277025","0.1242544731610338","342.4700012207031","0.0024001598358154297","0.27525603771209717","0.26943573355674744","Manufacturing","PRINTED CIRCUIT BOARDS","2","2","0","POS","2026-04-30T16:00:00Z","0.3333333333333333","16.0","Pharmaceutical Contract Development and Manufacturing Organization (CDMO) for Formulations Market Research Report 2026: Opportunities, Trends, Competitive Lands","Acquisition of Pharmaceutics International Inc. in February 2025 strengthens capabilities in aseptic filling, lyophilization, and oral solid dose production, enhancing market position.","CDMO;pharmaceutical manufacturing;peptide therapeutics;contract manufacturing;GMP production","False","False","False"
"64","ANET","0.09091377505609738","0.12624254473161034","172.6999969482422","-0.023797452449798584","0.3632775545120239","0.470795214176178","Manufacturing","COMPUTER COMMUNICATIONS EQUIPMENT","0","0","0","NO-NEWS","","","","","","","False","False","False"
